CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-10250-50988,10-Sep-10,7-Sep-10,PARTIAL CERTIFIED,H-2B,FL,1-Aug-10,1-May-11,BUDGET INN OF CRESTVIEW,203 SW MIRACLE STRIP PKWY.,,FT. WALTON BEACH,FL,32548,,,,323.687-014,"CLEANER, HOUSEKEEPING",8,7,,,,
C-09329-47395,14-Jan-10,25-Nov-09,DENIED,H-2B,FL,1-Oct-09,1-Aug-10,"DESTIN PALMS, LLC.",165 CREST DRIVE,,DESTIN,FL,32550,JOSEPH O. REOSTI,MIRAMAR BEACH,FL,408.687-014,"LABORER, LANDSCAPE",10,0,8.03,HR,8.03,HR
C-10069-49607,14-Apr-10,10-Mar-10,DENIED,H-2B,FL,15-Feb-10,15-Dec-10,KEN GRIFFIN LANDSCAPE CONTRACTORS,3004 WESTFIELD RD.,,GULF BREEZE,FL,32563,MARVIC G. THOMPSON,BATON ROUGE,LA,408.687-014,"LABORER, LANDSCAPE",10,0,,,,
C-09314-47072,20-Nov-09,10-Nov-09,PARTIAL CERTIFIED,H-2B,FL,13-Feb-10,13-Dec-10,"GRASS ROOTS LAWN & LANDSCAPE, INC.",1045 TROON DRIVE EAST,,NICEVILLE,FL,32578,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12,11,8.57,HR,8.57,HR
C-09275-46584,6-Nov-09,2-Oct-09,DENIED,H-2B,FL,1-Oct-09,1-Aug-10,"MIDBAY WINDOW CLEANING AND PRESSURE WASHING, LLC.",442 OLDE POST RD.,,NICEVILLE,FL,32579,JOSEPH O. REOSTI,MIRAMAR BEACH,FL,381.687-014,"CLEANER, COMMERCIAL OR INSTITUTIONAL",10,0,7.42,HR,7.42,HR
C-09324-47318,4-Dec-09,20-Nov-09,CERTIFIED,H-2B,FL,15-Feb-10,15-Dec-10,BAYOU LAWN SERVICES,489 VALPARAISO PKWY,,VALPARAISO,FL,32580,LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,408.687-014,"LABORER, LANDSCAPE",30,30,8.57,HR,8.57,HR
C-10050-49400,24-Feb-10,19-Feb-10,PARTIAL CERTIFIED,H-2B,FL,1-Apr-10,15-Dec-10,FLORIDA LAWNS,6424 NW 18TH DR.,,GAINESVILLE,FL,32653,BRANDI COWAN,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",10,7,,,,
C-10019-48816,22-Jan-10,15-Jan-10,PARTIAL CERTIFIED,H-2B,VA,1-Apr-10,13-Nov-10,"NANAK'S LANDSCAPING GROUNDS MAINTENANCE, INC. - JA",1174 FLORIDA CENTRAL PARKWAY,(P.O. BOX 521085),LONGWOOD,FL,32750,"MASLABOR H2B, LLC/ELIZABETH D WHITLEY",LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",85,62,8.92,HR,8.92,HR
C-10020-48863,25-Jan-10,19-Jan-10,PARTIAL CERTIFIED,H-2B,FL,1-Apr-10,13-Nov-10,"NANAK'S LANDSCAPING GROUNDS MAINTENANCE, INC. - TA",1174 FLORIDA CENTRAL PARKWAY,P O  BOX 521085,LONGWOOD,FL,32750,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",50,30,8.76,HR,8.76,HR
C-10047-49357,22-Feb-10,16-Feb-10,PARTIAL CERTIFIED,H-2B,FL,4-Feb-10,30-Nov-10,S&T MAGIC ENTERPRISE INC DBA S& T MAGIC,2509 LAKESHORE BLVD,,ORLANDO,FL,32803,,,,342.663-010,RIDE OPERATOR,30,27,,,,
C-10019-48843,25-Jan-10,19-Jan-10,PARTIAL CERTIFIED,H-2B,FL,1-Apr-10,1-Dec-10,"CAROL KING LANDSCAPE MAINTENANCE, INC.",7032 OLD CHENEY HIGHWAY,,ORLANDO,FL,32807,"ELIZABETH D. WHITLEY/MAS LABOR H2B, LLC",LOVINGSTON,VA,406.687-010,LANDSCAPE SPECIALIST,48,37,8.59,HR,8.59,HR
C-09322-47287,1-Feb-10,18-Nov-09,DENIED,H-2B,FL,10-Aug-09,10-Jun-10,"FINES ENTERPRISES, INC. DBA TENDER TOUCH HEALTH CA",4305 VINELAND ROAD,SUITE G-14,ORLANDO,FL,32811,MERLE E. WILLS,ORLANDO,FL,309.674-014,PERSONAL ATTENDANT,8,0,8.5,HR,8.5,HR
C-10211-50697,20-Aug-10,30-Jul-10,DENIED,H-2B,FL,1-Oct-10,1-Apr-11,"DVIR'S RETAIL, LLC","5247 INTERNATIONAL DR., SUITE B.",,ORLANDO,FL,32819,SIUPO CHAN,CHAMBLEE,GA,290.477-014,SALES CLERK,20,0,7.97,HR,7.97,HR
C-10179-50387,9-Jul-10,28-Jun-10,CERTIFIED,H-2B,FL,1-Oct-10,31-Jul-11,"MARRIOTT INTERNATIONAL, INC.",6677 SEA HARBOUR DR,,ORLANDO,FL,32821,"VERONICA STRICKLAND, PRACTICAL EMPLOYEE SOLUTIONS",DALLAS,TX,350.677-030,WAITER/WAITRESS,6,6,,,,
C-10183-50423,15-Jul-10,28-May-10,DENIED,H-2B,FL,21-Jun-10,31-Jan-11,"ATLANTIS GROUP ENTERPRISES, INC.",8131 VINELAND AVE,SUITE 325,ORLANDO,FL,32821,YULIYA O. PAVLUSENKO,KISSIMMEE,FL,321.137-010,HOUSEKEEPER,17,0,7.75,HR,7.75,HR
C-10019-48833,22-Jan-10,15-Jan-10,CERTIFIED,H-2B,FL,1-Feb-10,30-Nov-10,"STRATES SHOWS, INC.",10600 ORANGE AVENUE,,ORLANDO,FL,32824,JOE A. NICHOLS,SANFORD,FL,349.664-010,AMUSEMENT PARK WORKER,74,74,,,,
C-09352-47743,23-Dec-09,16-Dec-09,CERTIFIED,H-2B,FL,1-Apr-10,21-Nov-10,"FAIRPLAY GAMES, INC.","7651 ASHLEY PARK COURT, SUITE 408 - #306",,ORLANDO,FL,32835,ROBERT WAYNE PIERCE,ANNAPOLIS,MD,342.457-010,GAME ATTENDANT,14,14,7.36,HR,7.36,HR
C-10004-48466,10-Feb-10,4-Jan-10,DENIED,H-2B,FL,1-Mar-10,28-Feb-13,"MAZEN B. HAMADEH, M. D.",14592 BRADDOCK OAK DRIVE,,ORLANDO,FL,32837,ROBERT LUBIN,RESTON,VA,309.674-014,PERSONAL ATTENDANT,1,0,,,,
C-10140-50145,16-Jun-10,20-May-10,CERTIFIED,H-2B,FL,1-Jun-10,31-May-13,"MAZEN B. HAMADEH, M.D.",14592 BRADDOCK OAK DRIVE,,ORLANDO,FL,32837,ROBERT LUBIN,HERNDON,VA,309.354-010,HOMEMAKER,1,1,9.5,HR,9.5,HR
C-10179-50385,1-Jul-10,28-Jun-10,PARTIAL CERTIFIED,H-2B,FL,1-Oct-10,31-May-11,JOHN'S ISLAND CLUB INC.,3 JOHN'S ISLAND DRIVE,,VERO BEACH,FL,32963,EMILIO MARTINEZ,MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,115,111,7.37,HR,7.37,HR
C-10176-50377,15-Jul-10,25-Jun-10,CERTIFIED,H-2B,FL,1-Oct-10,31-May-11,"ORCHID ISLAND GOLF & BEACH CLUB, INC.",ONE BEACHSIDE DRIVE,,ORCHID,FL,32963,BRYANT L. STEVENSON,LAS VEGAS,NV,350.677-030,WAITER/WAITRESS,19,19,7.26,HR,7.26,HR
C-10176-50381,15-Jul-10,25-Jun-10,CERTIFIED,H-2B,FL,1-Oct-10,31-May-11,"ORCHID ISLAND GOLF & BEACH CLUB, INC.",ONE BEACHSIDE DR.,,ORCHID,FL,32963,BRYANT L STEVENSON,LAS VEGAS,NV,313.361-014,COOK,6,6,10.5,HR,10.5,HR
C-10216-50741,17-Aug-10,4-Aug-10,PARTIAL CERTIFIED,H-2B,FL,1-Nov-10,15-May-11,WINDSOR  COUNTRY CLUB,3125 WINDSOR BLVD,,VERO BEACH,FL,32963,,,,313.361-014,COOK,8,4,11,HR,11,HR
C-10183-50414,21-Jul-10,2-Jul-10,CERTIFIED,H-2B,FL,1-Oct-10,15-May-11,"RED STICK GOLF CLUB, INC.",8350 58TH STREET,,VERO BEACH,FL,32967,BRYANT L. STEVENSON,LAS VEGAS,NV,350.677-030,WAITER/WAITRESS,4,4,7.26,HR,11.5,HR
C-10204-50614,5-Aug-10,23-Jul-10,PARTIAL CERTIFIED,H-2B,FL,15-Oct-10,15-May-11,QUAIL VALLEY GOLF CLUB,2345 HWY A1A,,VERO BEACH,FL,32967,SAMAN MOVASSAGHI,MIRAMAR,FL,350.677-030,WAITER/WAITRESS,16,10,7.37,HR,7.37,HR
C-10179-50393,22-Jul-10,28-Jun-10,DENIED,H-2B,FL,22-Sep-10,31-Aug-11,SARIAH RODRIGUEZ,1830 S OCEAN DR,UNIT 1911,HALLANDALE BEACH,FL,33009,,,,301.677-010,CHILD MONITOR,1,0,380,WK,380,WK
C-09254-46433,9-Oct-09,11-Sep-09,CERTIFIED,H-2B,AL,1-Oct-09,1-Feb-10,E & T SUPPLY INC.,2320 HOLLYWOOD BLVD.,,HOLLYWOOD,FL,33020,"ALEX BERD/ BERD & KLAUSS, PLLC",NEW YORK,NY,262.357-018,"SALESPERSON, COSMETICS AND TOILETRIES",6,6,7.45,HR,7.45,HR
C-10006-48546,8-Feb-10,6-Jan-10,DENIED,H-2B,FL,15-Jan-10,30-Jun-10,RRH TRADING INC.,3333 OAK DRIVE,,HOLLYWOOD,FL,33021,,,,262.357-018,"SALESPERSON, COSMETICS AND TOILETRIES",15,0,14.15,HR,15,HR
C-09342-47552,22-Jan-10,8-Dec-09,DENIED,H-2B,FL,1-Jan-10,15-Dec-10,OCEAN DIVERS INC.,522 CARIBBEAN DR,,KEY LARGO,FL,33037,,,,237.367-018,INFORMATION CLERK,1,0,16.12,HR,16.12,HR
C-10229-50852,1-Sep-10,17-Aug-10,PARTIAL CERTIFIED,H-2B,FL,15-Oct-10,1-Jun-11,OCEAN REEF CLUB,35 OCEAN REEF DRIVE,,KEY LARGO,FL,33037,"KENDRA S. KEMBEL, ESQ.  LAW OFFICES OF KENDRA S. K",ENOLA,PA,317.687-010,COOK HELPER,20,19,11.61,HR,11.61,HR
C-10229-50850,13-Sep-10,17-Aug-10,DENIED,H-2B,FL,15-Oct-10,1-Jun-11,OCEAN REEF CLUB,35 OCEAN REEF DR.,,KEY LARGO,FL,33037,"KENDRA S. KEMBEL, ESQ.",MECHANICSBURG,PA,211.482-018,FOOD AND BEVERAGE CHECKER,73,0,,,,
C-10207-50623,28-Jul-10,26-Jul-10,PARTIAL CERTIFIED,H-2B,FL,15-Oct-10,31-Jul-11,HOTEL PROVIDERS INC DBA WESTIN KEY WEST RESORT,245 FRONT STREET,,KEY WEST,FL,33040,,,,321.137-010,HOUSEKEEPER,23,19,,,,
C-10207-50625,28-Jul-10,26-Jul-10,CERTIFIED,H-2B,FL,15-Oct-10,31-Jul-11,HOTEL PROVIDERS INC DBA WESTIN KEY WEST RESORT,245 FRONT STREET,,KEY WEST,FL,33040,,,,350.677-030,WAITER/WAITRESS,15,15,10.01,HR,10.01,HR
C-10207-50626,29-Jul-10,26-Jul-10,PARTIAL CERTIFIED,H-2B,FL,15-Oct-10,31-Jul-11,HOTEL PROVIDERS INC DBA WESTIN KEY WEST RESORT,245 FRONT STREET,,KEY WEST,FL,33040,,,,238.362-010,HOTEL CLERK,5,4,11,HR,11,HR
C-10207-50639,29-Jul-10,26-Jul-10,PARTIAL CERTIFIED,H-2B,FL,15-Oct-10,31-Jul-11,HOTEL PROVIDERS INC D/B/A WESTIN KEY WEST RESORT,245 FRONT STREET,,KEY WEST,FL,33040,,,,313.361-014,COOK,8,7,12,HR,12,HR
C-10209-50672,11-Aug-10,28-Jul-10,PARTIAL CERTIFIED,H-2B,FL,15-Oct-10,31-Jul-11,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT ROAD,,KEY WEST,FL,33040,,,,321.137-010,HOUSEKEEPER,12,10,10,HR,10,HR
C-10201-50572,22-Jul-10,20-Jul-10,CERTIFIED,H-2B,FL,27-Jul-10,15-May-11,EDUARDO CORDOVA,PO BOX 501354,,MARATHON,FL,33050,KRISTIN M REED,MARATHON,FL,449.667-010,"DECKHAND, FISHING VESSEL",1,1,8.5,HR,8.5,HR
C-10208-50658,19-Aug-10,27-Jul-10,DENIED,H-2B,FL,1-Oct-10,31-May-11,"HANS IM GLUECK, INC.",1470 OCEAN BREEZE AVENUE,,MARATHON,FL,33050,KRISTIN REED,MARATHON,FL,449.667-010,"DECKHAND, FISHING VESSEL",2,0,8.5,HR,8.5,HR
C-10239-50914,1-Sep-10,27-Aug-10,CERTIFIED,H-2B,FL,1-Oct-10,1-Jun-11,EQUITOR INC,21001 NW 27TH AVENUE,,MIAMI GARDENS,FL,33056,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,ANIMAL CARETAKER,4,4,,,,
C-10202-50599,29-Jul-10,21-Jul-10,DENIED,H-2B,FL,4-Oct-10,30-Apr-11,"CANAM GOLF GROUPS, LLC DBA CANAM GOLF",551 S POMPANO PARKWAY,,POMPANO BEACH,FL,33069,RUTH ANN WORDEN,HAINES CITY,FL,205.362-026,CUSTOMER SERVICE REPRESENTATIVE,30,0,11.66,HR,11.66,HR
C-10256-51032,16-Sep-10,13-Sep-10,PARTIAL CERTIFIED,H-2B,FL,4-Oct-10,30-Apr-11,"CAN-AM GOLF GROUP, LLC DBA CAN-AM GOLF","551 S POMPANO PARKWAY, SUITE A",,POMPANO BEACH,FL,33069,,,,205.362-026,CUSTOMER SERVICE REPRESENTATIVE,30,28,12.35,HR,12.35,HR
C-09275-46583,5-Nov-09,2-Oct-09,DENIED,H-2B,FL,1-Nov-09,30-May-10,PROFESSIONAL MANAGEMENT STAFFING INC.,4699 NW 7TH AVE.,,MIAMI,FL,33127,LILIANA JANETH CUEVA,CORAL GABLES,FL,350.677-030,WAITER/WAITRESS,25,0,7.37,HR,7.37,HR
C-09308-46975,7-Dec-09,4-Nov-09,DENIED,H-2B,FL,1-Dec-09,30-Apr-10,FSM HOTEL LLC DBA FOUR SEASON HOTEL MIAMI,1435 BRICKELL AVENUE,,MIAMI,FL,33131,"ROBERT LALTOO / INTERNATIONAL WORK SOLUTIONS, INC.",CAPE NEDDICK,ME,350.677-030,WAITER/WAITRESS,15,0,8.78,HR,8.85,HR
C-09352-47703,2-Feb-10,16-Dec-09,CERTIFIED,H-2B,FL,15-Nov-09,14-Nov-10,"IL GABBIANO MIAMI, LLC","335 S.E. BISCAYNE BLVD., UNIT CU-1",,MIAMI,FL,33131,KARI ANN FONTE,MIAMI,FL,313.131-014,CHEF,1,1,25.24,HR,25.24,HR
C-10246-50973,8-Sep-10,3-Sep-10,CERTIFIED,H-2B,FL,1-Nov-10,30-May-11,"VII MP MIAMI HOTEL OWNER, LLC DBA FOUR SEASON HOTE",1435 BRICKELL AVENUE,,MIAMI,FL,33131,,,,315.361-010,COOK,15,15,,,,
C-10246-50977,17-Sep-10,3-Sep-10,PARTIAL CERTIFIED,H-2B,FL,1-Nov-10,30-May-11,"VII MP MIAMI HOTEL OWNER, LLC DBA FOUR SEASONS HOT",1435 BRICKEL AVE,,MIAMI,FL,33131,,,,323.687-014,"CLEANER, HOUSEKEEPING",15,13,,,,
C-09342-47556,10-Dec-09,8-Dec-09,PARTIAL CERTIFIED,H-2B,FL,15-Feb-10,15-Dec-10,TOTAL ENGINEERING & CONSTRUCTION SERVICES INC. DBA,7005 NORTH WATERWAY DRIVE,SUITE 305,MIAMI,FL,33135,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"LABORER, LANDSCAPE",85,80,8.07,HR,8.07,HR
C-10196-50524,27-Jul-10,15-Jul-10,PARTIAL CERTIFIED,H-2B,FL,1-Oct-10,31-Jul-11,"MAJESTIC ORGANIZATIONS, LLC",1050 WASHINGTON AVENUE,,MIAMI BEACH,FL,33139,,,,323.687-014,"CLEANER, HOUSEKEEPING",15,14,,,,
C-09272-46559,6-Oct-09,29-Sep-09,PARTIAL CERTIFIED,H-2B,FL,15-Nov-09,30-Jun-10,"FONTAINEBLEAU FLORIDA HOTEL, LLC DBA FONTAINEBLEAU",4441 COLLINS AVENUE,,MIAMI BEACH,FL,33140,"ROBERT LALTOO / INTERNATIONAL WORK SOLUTIONS, INC.",CAPE NEDDICK,ME,321.137-010,HOUSEKEEPER,50,47,8.28,HR,9.7,HR
C-09272-46557,6-Oct-09,29-Sep-09,PARTIAL CERTIFIED,H-2B,FL,15-Nov-09,30-Jun-10,"FONTAINEBLEAU FLORIDA HOTEL, LLC DBA FONTAINEBLEAU",4441 COLLINS AVENUE,,MIAMI BEACH,FL,33140,ROBERT LALTOO,CAPE NEDDICK,ME,311.477-030,"WAITER/WAITRESS, INFORMAL",50,45,8.78,HR,8.78,HR
C-09272-46558,28-Oct-09,29-Sep-09,CERTIFIED,H-2B,FL,15-Nov-09,30-Jun-10,"FONTAINEBLEAU FLORIDA HOTEL, LLC DBA FONTAINEBLEAU",4441 COLLINS AVENUE,,MIAMI BEACH,FL,33140,ROBERT LALTOO,CAPE NEDDICK,ME,318.687-010,KITCHEN HELPER,15,15,9.35,HR,9.35,HR
C-09261-46485,27-Oct-09,18-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,7,7,,,,
C-09261-46487,27-Oct-09,18-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,350.677-030,WAITER/WAITRESS,5,5,,,,
C-09271-46543,27-Oct-09,28-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Oct-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,321.137-010,HOUSEKEEPER,30,30,8.28,HR,8.28,HR
C-09271-46544,27-Oct-09,28-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,305.281-010,COOK,14,14,9.85,HR,9.85,HR
C-09261-46490,27-Oct-09,18-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,"GREENBERG TRAURIG, P.A.",MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,16,16,7.86,HR,7.86,HR
C-09261-46488,28-Oct-09,18-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,323.687-014,"CLEANER, HOUSEKEEPING",20,20,8.32,HR,8.32,HR
C-09261-46486,28-Oct-09,18-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,350.677-030,WAITER/WAITRESS,24,24,10.8,HR,10.8,HR
C-09261-46489,28-Oct-09,18-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,350.677-030,WAITER/WAITRESS,6,6,10.8,HR,10.8,HR
C-09271-46547,28-Oct-09,28-Sep-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,313.361-014,COOK,6,6,8.62,HR,8.62,HR
C-09310-47024,23-Nov-09,6-Nov-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,19,19,7.86,HR,7.86,HR
C-09316-47109,23-Nov-09,12-Nov-09,CERTIFIED,H-2B,FL,1-Oct-09,1-Apr-10,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE SUITE 400,,MIAMI,FL,33142,"GREENBERG TRAURIG, P.A.",MIAMI,FL,313.361-014,COOK,8,8,8.62,HR,8.62,HR
C-10088-49774,13-Apr-10,29-Mar-10,CERTIFIED,H-2B,SC,1-Apr-10,1-Oct-10,CAROLINAS EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE,2ND SUITE #100,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,323.687-014,"CLEANER, HOUSEKEEPING",25,25,7.85,HR,7.85,HR
C-10221-50787,30-Aug-10,9-Aug-10,CERTIFIED,H-2B,FL,1-Oct-10,1-Apr-11,SOUTH BEACH EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE 2ND FLOOR,SUITE 100,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,14,14,,,,
C-10221-50788,30-Aug-10,9-Aug-10,CERTIFIED,H-2B,FL,1-Oct-10,1-Apr-11,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE 2ND FLOOR SUITE 100,,MIAMI,FL,33142,OSCAR LEVIN,MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,5,5,,,,
C-10221-50785,30-Aug-10,9-Aug-10,CERTIFIED,H-2B,FL,1-Oct-10,1-Apr-11,LINCOLN ROAD EMPLOYMENT ADVISORY SERVICES LLC,2425 NW 33 AVENUE 2ND FLOOR SUITE 100,,MIAMI,FL,33142,"GREENBERG TRAURIG, P.A.",MIAMI,FL,311.677-018,DINING ROOM ATTENDANT,5,5,8.3,HR,8.3,HR
C-09246-46393,9-Oct-09,3-Sep-09,DENIED,H-2B,FL,31-Oct-09,31-Jul-10,"THE RITZ-CARLTON, KEY BISCAYNE",455 GRAND BAY DRIVE,,KEY BISCAYNE,FL,33149,DANIEL REISNER,NEW YORK,NY,311.677-018,DINING ROOM ATTENDANT,15,0,7.26,HR,7.97,HR
C-10099-49848,10-May-10,9-Apr-10,DENIED,H-2B,FL,,,CHICKEN PLUS LLC.,199 NW. 62ND STREET,,MIAMI,FL,33150,,,,305.281-010,COOK,1,0,6,HR,6,HR
C-10250-50985,27-Sep-10,7-Sep-10,DENIED,H-2B,FL,11-Nov-10,11-Jul-11,MORTIMER WILLIAMS,9445 COLLINS AVE #1206,,SURFSIDE,FL,33154,LORNE JEFFREY KELMAN,VALLEY STREAM,NY,354.377-014,HOME ATTENDANT,1,0,10.54,HR,10.54,HR
C-09350-47639,21-Jan-10,11-Dec-09,DENIED,H-2B,FL,1-Oct-09,1-Oct-10,"PALMETTO CLEANING SERVICES, INC.",17400 SW 97 AVE.,SUITE 131,MIAMI,FL,33157,FERNANDO E. ROJAS,MIAMI,FL,323.687-014,"CLEANER, HOUSEKEEPING",30,0,,,,
C-10193-50495,23-Jul-10,12-Jul-10,DENIED,H-2B,FL,15-Oct-10,8-Jul-11,"CORAL RIDGE GOLF COURSE, INC DBA CORAL RIDGE COUNT",3801 BAYVIEW DRIVE,,FORT LAUDERDALE,FL,33308,VERONICA T. STRICKLAND-BIRKENSTOCK,DALLAS,TX,350.677-030,WAITER/WAITRESS,8,0,11.58,HR,11.58,HR
C-10217-50764,10-Aug-10,5-Aug-10,CERTIFIED,H-2B,FL,15-Oct-10,8-Jul-11,"CORAL RIDGE GOLF COURSE, INC DBA CORAL RIDGE COUNT",3801 BAYVIEW DRIVE,,FORT LAUDERDALE,FL,33308,VERONICA T STRICKLAND-BIRKENSTOCK,DALLAS,TX,350.677-030,WAITER/WAITRESS,8,8,11.58,HR,11.58,HR
C-10071-49630,22-Apr-10,12-Mar-10,DENIED,H-2B,FL,25-May-10,10-Mar-11,"BOMBAY CAFE, INC.",3060 N. ANDREWS AVE.,,FORT LAUDERDALE,FL,33311,"GRANT KAPLAN, ESQ.",BOCA RATON,FL,313.131-014,CHEF,2,0,,,,
C-09271-46546,20-Oct-09,28-Sep-09,DENIED,H-2B,FL,1-Oct-09,31-May-10,"WHM, LLC DBA  LUXURY RESORTS & HOTELS",2301 S.E. 17TH STREET,,FORT LAUDERDALE,FL,33316,JAY C. RUBY,ATLANTA,GA,899.381-010,"MAINTENANCE REPAIRER, BUILDING",2,0,13,HR,13,HR
C-09271-46545,20-Oct-09,28-Sep-09,DENIED,H-2B,FL,1-Oct-09,31-May-10,"WHM, LLC DBA  LUXURY RESORTS & HOTELS",2301 S.E. 17TH STREET,,FORT LAUDERDALE,FL,33316,JAY C. RUBY,ATLANTA,GA,311.677-018,DINING ROOM ATTENDANT,6,0,7.39,HR,7.39,HR
C-10207-50649,19-Aug-10,26-Jul-10,CERTIFIED,H-2B,FL,17-Sep-10,16-Mar-11,PHOENIX RESTAURANTS,1130 GINGER CIR,,WESTON,FL,33326,ARAM JOHN KIM/ ALG LAWYERS,LOS ANGELES,CA,526.381-010,BAKER,1,1,8.47,HR,8.47,HR
C-10049-49385,26-Mar-10,18-Feb-10,DENIED,H-2B,RI,1-Dec-09,1-May-10,"WATCH HILL PROPERTIES, LLC DBA WHI, INC.",4801 SOUTH UNIVERSITY,,DAVIE,FL,33328,"DONNETTE RUSSELL-LOVE, ESQ.",DAVIE,FL,187.117-038,"MANAGER, HOTEL OR MOTEL",1,0,,,,
C-10049-49381,26-Mar-10,18-Feb-10,DENIED,H-2B,RI,1-Apr-10,1-Feb-11,"WATCH HILL PROPERTIES, LLC DBA WATCH HILL PROPERTI",4801 S UNIVERSITY DRIVE,SUITE 217,DAVIE,FL,33328,"DONETTE RUSSELL-LOVE, ESQ.",DAVIE,FL,184.167-266,TRANSPORTATION MAINTENANCE SUPERVISOR,1,0,,,,
C-09268-46533,3-Nov-09,25-Sep-09,DENIED,H-2B,FL,1-Nov-09,30-Apr-10,"CHANDLER FINLEY & ASSOCIATES, P.A. DBA INTERNATION",1645 PALM BEACH LAKES BLVD. SUITE 460,,WEST PALM BEACH,FL,33401,,,,419.224-010,HORSE TRAINER,100,0,23.06,HR,23.06,HR
